Epoch,Num trials,Number correct,Time
0,1077,236,1094.047747583012
1,1077,497,1094.07372845395
2,1077,631,1094.0928979449673
3,1077,615,1094.0824637409532
4,1077,714,1094.087422927958
5,1077,806,1094.0738909179927
6,1077,913,1094.0620749689988
7,1077,882,1094.0767739769653
8,1077,908,1094.0250766780227
9,1077,975,1094.0997814830043
10,1077,983,1094.0514804020058
11,1077,1004,1094.0784666370018
12,1077,993,1094.0839300639927
13,1077,1014,1094.0854515280225
14,1077,1017,1094.0871753029642
15,1077,1027,1094.088607765967
16,1077,1037,1094.0829225839698
17,1077,1039,1094.0665234930348
18,1077,1041,1094.0480408529984
19,1077,1046,1094.077127919998
20,1077,1052,1094.0595493130386
21,1077,1052,1094.06765536702
22,1077,1053,1094.0604535469902
23,1077,1054,1094.0686499169678
24,1077,1060,1094.0675011940184
25,1077,1054,1094.0494588009897
26,1077,1058,1094.0929988989956
27,1077,1061,1094.0762799090007
28,1077,1065,1094.069578956056
29,1077,1063,1094.057033516001
30,1077,1064,1094.054684001021
31,1077,1064,1094.0581090250053
32,1077,1066,1094.0795767329982
33,1077,1066,1094.0865057060146
34,1077,1066,1094.0595787849743
35,1077,1068,1094.0796253459994
36,1077,1067,1094.102317670011
37,1077,1069,1094.0906766270055
38,1077,1070,1094.050380034023
39,1077,1070,1094.077248067013
40,1077,1071,1094.0976988360053
41,1077,1072,1094.0848185290233
42,1077,1071,1094.064529624011
43,1077,1072,1094.079061490018
44,1077,1073,1094.076237375033
45,1077,1072,1094.0784151399857
46,1077,1073,1094.0922254900215
47,1077,1073,1094.0680883639725
48,1077,1073,1094.1134508500108
49,1077,1073,1094.1179151510005
50,1077,1074,1094.0720158490003
51,1077,1076,1094.102306818997
52,1077,1076,1094.0732999420143
53,1077,1076,1094.0783135629608
54,1077,1076,1094.0969448119868
55,1077,1077,1094.0630761630018
56,1077,1076,1094.0968517420115
57,1077,1077,1094.113735751016
58,1077,1077,1094.078760171018
59,1077,1077,1094.0821759179817
60,1077,1077,1094.0896794830333
61,1077,1077,1094.0850823890069
62,1077,1077,1094.101099624997
63,1077,299,1094.26380905509
64,1077,492,1094.2552646659315
65,1077,606,1094.2444844229612
66,1077,731,1094.2699725441635
67,1077,797,1094.2879806410056
68,1077,869,1094.272561833961
69,1077,897,1094.2761124020908
70,1077,965,1094.2571274999063
71,1077,968,1094.2439262161497
72,1077,995,1094.2641362489667
73,1077,996,1094.2879384488333
74,1077,1007,1094.2779866049532
75,1077,1021,1094.3067332140636
76,1077,1034,1094.26136188698
77,1077,1034,1094.228161223
78,1077,1038,1094.2459706990048
79,1077,1042,1094.3053930930328
80,1077,1045,1094.2345847079996
81,1077,1044,1094.2587712209206
82,1077,1046,1094.2798100279178
83,1077,1053,1094.2533217249438
84,1077,1054,1094.2736040528398
85,1077,1057,1094.298600716982
86,1077,1058,1094.2693293050397
87,1077,1057,1094.271331487922
88,1077,1059,1094.2410249789245
89,1077,1062,1094.2631082460284
90,1077,1064,1094.2320665251464
91,1077,1065,1094.4870004451368
92,1077,1065,1094.2313629358541
93,1077,1065,1094.2609785760287
94,1077,1067,1094.277439923957
95,1077,1067,1094.2878247641493
96,1077,1066,1094.2674797161017
97,1077,1069,1094.4260165221058
98,1077,1068,1094.2380043058656
99,1077,1070,1094.2689440280665
